1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,32,32,32,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,32,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
23,23,22,22,23,22,23,23,23,23,14,29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,3,3,3,3,3,7,7,7,4,7,7,7,7,7,7,7,7,3,7,3,7,3,7,7,7,7,7,7,7,
5,3,5,3,5,3,5,3,7,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
23,23,23,14,14,4,14,4,14,4,4,4,26,4,4,4,4,4,4,4,3,3,3,3,3,3,3,7,3,3,3,3,3,7,3,7,7,7,7,7,7,7,7,7,7,3,7,7,7,4,7,4,4,4,4,4,4,3,7,7,
23,23,23,21,23,13,14,14,14,14,14,14,23,4,23,4,4,2,2,2,5,2,2,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,3,3,3,3,3,4,4,4,4,4,4,4,
4,4,4,4,31,31,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,
2,2,3,3,3,3,3,3,3,5,5,3,3,7,7,3,7,7,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,4,4,4,4,4,4,7,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
3,3,3,3,3,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,7,4,7,4,7,4,7,4,7,4,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
4,3,3,3,3,3,3,3,7,7,3,7,7,7,7,7,3,7,7,7,3,7,7,7,7,7,7,7,4,3,7,7,7,7,7,7,7,7,7,7,7,4,4,4,29,4,4,4,31,4,4,4,4,28,4,31,4,4,4,4,
