-312.422962,-316.067609,-329.735034,-327.001549,-343.402460,-346.135946,-327.001549,-334.746424,-345.224784,-357.069886,-347.047107,-352.514078,
-367.548246,-369.826151,-373.015217,-375.293121,-378.482187,-369.826151,-347.502688,-342.035718,-326.090388,-318.345513,-329.279454,-323.356902,
-314.700866,-306.500410,-313.789704,-298.299955,-294.199727,-293.744146,-298.299955,-312.878542,-305.133668,-267.320456,-255.930934,-265.953713,
-243.630251,-240.896766,-263.675809,-260.942324,-262.764647,-263.220228,-264.131390,-253.197449,-247.730479,-264.586971,-257.753258,-255.475353,
-255.475353,-253.653030,-248.186060,-247.274898,-250.008383,-247.274898,-260.942324,-270.053941,-266.409294,-260.031162,-252.741868,-252.741868,
-254.564192,-255.475353,-255.930934,-245.908155,-244.541413,-234.974214,-241.807927,-250.008383,-250.919545,-253.197449,-254.108611,-244.996993,
-239.985604,-235.429795,-240.896766,-250.463964,-245.908155,-246.819317,-254.108611,-247.730479,-255.019773,-247.274898,-243.630251,-230.873987,
-264.131390,-255.475353,-253.197449,-254.108611,-250.463964,-255.019773,-246.819317,-244.085832,-242.719089,-244.541413,-239.530023,-234.974214,
-246.819317,-240.441185,-238.618861,-244.996993,-238.163280,-252.741868,-254.564192,-255.475353,-243.630251,-237.707700,-241.352347,-248.186060,
-227.684921,-239.074442,-238.618861,-232.696310,-229.507244,-234.063053,-239.985604,-238.163280,-237.707700,-239.074442,-228.596082,-220.851208,
-224.040274,-237.707700,-237.707700,-236.340957,-230.873987,-227.684921,-239.074442,-236.340957,-223.584693,-230.873987,-226.318178,-213.106333,
-225.407016,-223.584693,-227.229340,-224.495855,-220.851208,-221.306788,-219.484465,-218.573303,-222.673531,-227.229340,-235.885376,-229.507244,
-214.928656,-214.928656,-228.596082,-223.584693,-220.395627,-224.951435,-232.696310,-219.940046,-229.962825,-238.163280,-237.707700,-230.418406,
-228.596082,-219.484465,-219.940046,-220.395627,-218.117722,-224.951435,-225.862597,-219.940046,-226.318178,-222.673531,-228.140501,-225.862597,
-218.573303,-214.473075,-198.983326,-198.983326,-191.238451,-192.149613,-190.782870,-181.215672,-181.671253,-161.170114,-144.769203,-146.591526,
-150.236173,-140.668975,-140.213394,-143.402460,-137.479909,-129.735034,-121.990160,-130.646196,-135.202005,-134.290843,-142.491299,-140.213394,
-141.124556,-130.190615,-137.479909,-135.202005,-134.746424,-131.101777,-131.101777,-131.101777,-133.835262,-138.846652,-131.101777,-121.990160,
-123.356902,-132.924101,-135.202005,-143.858041,-132.468520,-128.823873,-136.568747,-128.368292,-123.812483,-117.889932,-131.101777,-128.368292,
-137.935490,-139.302233,-151.602916,-152.514078,-154.336401,-163.448019,-146.135946,-158.892210,-165.270342,-159.347791,-168.003827,-181.671253,
-185.315900,-193.060775,-188.960547,-195.338679,-197.161003,-200.805650,-204.905877,-193.971937,-197.616583,-197.616583,-201.716811,-208.094943,
-203.539135,-197.161003,-201.261230,-201.716811,-194.427517,-204.905877,-210.372848,-207.639362,-198.527745,-188.049385,-187.593804,-194.883098,
-194.427517,-200.350069,-203.539135,-194.427517,-202.627973,-201.261230,-202.172392,-209.006105,-190.327290,-209.461686,-203.539135,-199.894488,
